User,MoveID,MoveName,UseCount,HitCount,BlockedCount,WhiffCount,TotalDamage,AvgDamage
1P(ID:8),801,ゴム掴み,19,9,0,10,496,26.1
1P(ID:8),802,対空大技,19,5,1,13,624,32.8
1P(ID:8),12,後退,41,0,0,41,0,0.0
1P(ID:8),803,ゴム風船,13,6,2,5,88,6.8
1P(ID:8),11,前進,12,0,0,12,0,0.0
1P(ID:8),19,飛び蹴り,2,1,0,1,31,15.5
1P(ID:8),15,横攻撃,2,0,0,2,0,0.0
1P(ID:8),2,ジャンプ,5,0,0,5,0,0.0
2P(ID:7),701,大ガード,51,2,0,49,48,0.9
2P(ID:7),702,シールドバッシュ,32,13,0,19,293,9.2
2P(ID:7),17,アッパー,8,1,0,7,43,5.4
2P(ID:7),14,弱攻撃,14,0,0,14,0,0.0
2P(ID:7),22,掴み攻撃,2,2,0,0,80,40.0
