パターンID,パターン名,使用可能キャラ,技1,技2,技3,技4,技5,技6,技7,技8,技9,技10,最短距離,最長距離
1,テストパターン1ニュートラル,-1,5,5,5,5,5,5,5,5,5,5,0,999
2,テストパターン1弱攻撃,-1,9,101,5,101,10,101,5,101,9,101,0,999
3,テストパターン2反復横跳び,-1,4,6,4,6,4,6,4,6,4,6,0,999
4,テストパターン3カウンター,-1,9,111,111,111,,,,,,,0,999
5,テストパターン4掴み攻撃,-1,9,109,109,109,109,9,,,,,0,999
6,テストパターン5掴み投げ,-1,9,110,110,110,,,,,,,0,999
,,,,,,,,,,,,,,
汎用技パターン,,,,,,,,,,,,,,
7,空中打ち上げコンボ,-1,108,105,103,,,,,,,,0,80
8,飛び蹴りコンボ,-1,106,103,12,103,,,,,,,100,200
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
スタンダード技パターン,,,,,,,,,,,,,,
101,スタンダード空中コンボ(近接),1,16,17,102,101,17,,,,,,0,40
102,スタンダード空中コンボ(中距離),1,21,18,102,101,,,,,,,40,150
103,スタンダード空中コンボ(遠距離),1,11,21,18,102,14,,,,,,150,400
104,後退ラッシュ,1,12,16,21,2,102,,,,,,20,100
105,ジャンプラッシュ,1,7,20,18,101,103,13,,,,,80,150
106,下攻め,1,21,17,7,103,21,,,,,,0,80
107,下攻め（中距離）,1,11,21,17,7,103,20,,,,,180,300
108,バッタ,1,19,19,17,102,,,,,,,200,300
109,空中攻め,1,2,18,101,17,102,,,,,,140,400
,,,,,,,,,,,,,,
重戦車技パターン,,,,,,,,,,,,,,
201,重戦車突撃（近距離）,2,203,17,201,15,,,,,,,0,100
202,重戦車突撃（中距離）,2,11,203,17,201,15,,,,,,100,200
203,重戦車突撃（遠距離）,2,11,19,203,17,,,,,,,200,400
204,ラリアット突撃,2,203,201,203,201,,,,,,,120,220
205,空中コンボ,2,201,18,202,2,202,,,,,,0,100
206,スーパーアーマー突撃,2,11,203,203,14,,,,,,,200,400
,,,,,,,,,,,,,,
スピード技パターン,,,,,,,,,,,,,,
301,ラッシュコンボ,3,303,303,13,303,,,,,,,0,120
302,ヒットアンドアウェイ,3,301,21,302,15,,,,,,,80,150
303,空中急襲,3,11,303,303,19,,,,,,,150,400
304,下段急襲,3,303,13,303,13,20,,,,,,80,150
305,フェイント,-3,12,301,11,15,302,11,,,,,100,200
306,差し返し攻撃,3,303,13,301,303,,,,,,,0,120
,,,,,,,,,,,,,,
インファイター技パターン,,,,,,,,,,,,,,
401,猫だまし確殺コンボ,4,402,401,19,,,,,,,,0,60
402,溜め攻撃突進,4,401,401,,,,,,,,,150,999
403,アッパー連撃,4,17,402,401,14,,,,,,,0,80
404,飛び込み奇襲,4,19,11,13,401,,,,,,,60,150
405,ガード前進,4,8,401,11,8,11,8,,,,,150,999
406,空中接近,4,2,18,13,401,,,,,,,150,999
407,カウンターコンボ,4,24,401,15,,,,,,,,0,80
,,,,,,,,,,,,,,
遠距離技パターン,,,,,,,,,,,,,,
501,速射うち逃げ,5,12,503,2,503,12,503,2,503,12,503,100,200
502,迎撃波動弾,5,501,12,502,2,503,503,,,,,100,200
503,弾幕けん制,5,502,501,12,502,503,,,,,,120,240
504,空中逃げ,5,2,18,11,13,501,,,,,,60,120
505,緊急回避,5,504,504,13,501,503,,,,,,0,80
506,波動弾連射,5,501,503,502,503,502,,,,,,200,999
507,速射弾幕,5,503,503,502,503,502,503,503,503,,,200,999
,,,,,,,,,,,,,,
罠師技パターン,,,,,,,,,,,,,,
601,爆発罠迎撃,6,601,18,16,12,,,,,,,150,999
602,打ち上げ罠コンボ,6,602,12,5,17,16,,,,,,2,120
603,大爆発罠ラッシュ,6,603,12,11,603,,,,,,,80,150
604,空中罠設置逃げ,6,2,601,12,19,13,601,,,,,40,200
605,罠設置逃げ,6,12,601,12,603,8,12,,,,,0,80
606,罠設置前進,6,11,601,13,12,601,12,601,,,,0,80
607,大爆発罠コンボ,6,601,11,18,15,,,,,,,80,200
608,罠設置,6,601,12,603,12,8,,,,,,120,300
,,,,,,,,,,,,,,
シールダー技パターン,,,,,,,,,,,,,,
701,ガード掴み攻撃,7,701,22,17,702,14,,,,,,0,50
702,シールドバッシュ打ち上げ,7,702,17,14,702,14,,,,,,0,80
703,シールドバッシュ突進,7,702,701,702,701,,,,,,,80,120
704,ガード突進,7,701,702,701,702,,,,,,,120,400
705,ガード耐久,7,701,701,701,701,701,,,,,,80,180
ゴム人間技パターン,,,,,,,,,,,,,,
801,遠距離掴みコンボ,8,801,802,12,12,,,,,,,150,400
802,引き撃ち掴み,8,12,801,802,12,,,,,,,100,250
803,近距離全力拒否,8,803,11,11,19,15,,,,,,0,40
804,パニック風船,8,803,803,12,2,11,12,,,,,0,80
805,対空迎撃,8,802,12,801,12,,,,,,,80,200
806,間合い調整前進,8,11,801,12,802,,,,,,,250,999
